Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,30pF,C_0402_1005Metric,73.610000,-40.769000,-90.000000,top
C2,30pF,C_0402_1005Metric,68.300000,-41.550000,90.000000,top
C3,0.1uF,C_0402_1005Metric,61.926000,-23.364000,-90.000000,top
C4,0.1uF,C_0402_1005Metric,74.372000,-27.081000,90.000000,top
C5,0.1uF,C_0402_1005Metric,71.324000,-26.573000,90.000000,top
C6,0.1uF,C_0402_1005Metric,66.879000,-29.494000,90.000000,top
C7,0.1uF,C_0402_1005Metric,66.145000,-33.987200,180.000000,top
C8,0.1uF,C_0402_1005Metric,71.705000,-38.864000,-90.000000,top
C9,0.1uF,C_0402_1005Metric,76.813000,-33.911000,0.000000,top
C10,0.1uF,C_0402_1005Metric,76.277000,-29.339000,90.000000,top
C11,0.1uF,C_0402_1005Metric,73.229000,-38.864000,-90.000000,top
C12,0.1uF,C_0402_1005Metric,70.308000,-26.141200,90.000000,top
C13,0.1uF,C_0402_1005Metric,65.580000,-45.200000,180.000000,top
C14,0.1uF,C_0402_1005Metric,64.008800,-34.444400,-90.000000,top
C15,0.1uF,C_0402_1005Metric,79.000000,-35.250000,180.000000,top
C16,1uF,C_0402_1005Metric,84.000000,-40.000000,90.000000,top
C17,2.2uF,C_0603_1608Metric,84.500000,-43.250000,90.000000,top
C18,470uF//25V,CP_Radial_D6.3mm_P2.50mm,88.567621,-34.250000,0.000000,top
C19,470uF//25V,CP_Radial_D6.3mm_P2.50mm,88.567621,-41.250000,0.000000,top
C20,0.1uF,C_0402_1005Metric,79.500000,-38.750000,90.000000,top
C21,470uF//25V,CP_Radial_D6.3mm_P2.50mm,73.250000,-47.250000,0.000000,top
C22,470uF//25V,CP_Radial_D6.3mm_P2.50mm,73.250000,-54.250000,0.000000,top
C23,4.7uF,C_0603_1608Metric,77.000000,-42.250000,-90.000000,top
C24,1uF,C_0402_1005Metric,89.300000,-27.770000,90.000000,top
C25,1uF,C_0402_1005Metric,86.770000,-24.000000,0.000000,top
D1,SS54,D_SMA,47.069166,-172.962500,0.000000,top
D2,SS54,D_SMA,65.830834,-172.962500,0.000000,top
D3,SS54,D_SMA,55.866668,-172.962500,0.000000,top
D4,SS54,D_SMA,75.500000,-172.962500,0.000000,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,79.500000,-20.705000,0.000000,top
J2,Conn_01x04,DB2ERC-3.5-4P,38.900000,-45.593750,-90.000000,top
J3,Conn_01x04,DB2ERC-3.5-4P,38.900000,-61.437500,-90.000000,top
J4,Conn_01x04,DB2ERC-3.5-4P,38.900000,-77.281250,-90.000000,top
J5,Conn_01x04,DB2ERC-3.5-4P,38.900000,-93.125000,-90.000000,top
J6,Conn_01x04,DB2ERC-3.5-4P,38.900000,-108.968750,-90.000000,top
J7,Conn_01x04,DB2ERC-3.5-4P,38.900000,-124.812500,-90.000000,top
